Issue ID,Rule,Severity,Type,File,Line,Message,Status,Effort,Quality Impact,Quick Fix Available
dad4b06b-32b2-4667-bc03-7b55fc966bdf,typescript:S1874,MINOR,CODE_SMELL,apps/web/src/components/ui/dialog.tsx,30,"'ElementRef' is deprecated.",OPEN,15min,MAINTAINABILITY,No
9120e6c1-a8fc-4264-aa0f-0e1fbb6125c0,typescript:S1874,MINOR,CODE_SMELL,apps/web/src/components/ui/dialog.tsx,82,"'ElementRef' is deprecated.",OPEN,15min,MAINTAINABILITY,No
6af35f21-6b31-4047-90b4-6e9559a101e5,typescript:S1874,MINOR,CODE_SMELL,apps/web/src/components/ui/dialog.tsx,97,"'ElementRef' is deprecated.",OPEN,15min,MAINTAINABILITY,No
e6339d3e-e7a7-4d29-8f86-c9308a767769,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,47,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
3b0b1cdf-e85d-4142-b9f8-bb111f614193,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,53,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
1d1bc7ee-b3d6-4ec7-8b07-ae02c7296a89,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,59,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
2f9a7964-a623-48ca-a56c-cf254a5b258f,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,65,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
b81b6313-2943-471f-aa50-cdf2c5e49053,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,71,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
b1dbffa3-43f2-46d2-b964-e16da2c2afe7,typescript:S6850,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,77,"Headings must have content and the content must be accessible by a screen reader.",OPEN,5min,MAINTAINABILITY,No
c42f690f-b1eb-43da-a8a9-2f0a729cf9c8,typescript:S5256,MAJOR,BUG,apps/web/src/components/ui/markdown-renderer.tsx,151,"Add a valid header row or column to this ""<table>"".",OPEN,2min,RELIABILITY,No
9e9e2347-be44-4015-a982-85641188f5df,typescript:S6478,MAJOR,CODE_SMELL,apps/web/src/components/ui/markdown-renderer.tsx,161,"Move this component definition out of the parent component and pass data as props.",OPEN,5min,MAINTAINABILITY,No
07afc667-ab7b-4f47-9af0-6601ab1df521,typescript:S4325,MINOR,CODE_SMELL,apps/web/src/components/voice/VoiceChat.tsx,101,"This assertion is unnecessary since it does not change the type of the expression.",OPEN,1min,MAINTAINABILITY,Yes
c9c10ee0-e34d-4dd0-88d5-50526597f3cd,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/voice/VoiceChat.tsx,272,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
c5635d3b-dfca-4d3d-a8dd-fd44f7618e79,typescript:S4323,MINOR,CODE_SMELL,apps/web/src/hooks/useAuthState.ts,79,"Replace this union type with a type alias.",OPEN,5min,MAINTAINABILITY,No
425e89e9-0fc6-4bfd-81c9-81a9b19633de,typescript:S4323,MINOR,CODE_SMELL,apps/web/src/hooks/useAuthState.ts,84,"Replace this union type with a type alias.",OPEN,5min,MAINTAINABILITY,No
d406946e-bee4-482f-bc07-d22d96d0187f,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/hooks/usePhoneInput.ts,39,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
fd382e08-d10e-4e63-ba57-d243cedf64be,typescript:S4325,MINOR,CODE_SMELL,apps/web/src/hooks/useTeacherOnboarding.ts,819,"This assertion is unnecessary since it does not change the type of the expression.",OPEN,1min,MAINTAINABILITY,Yes
0c09f722-f382-48bd-af5b-6785b3fe429b,typescript:S4323,MINOR,CODE_SMELL,apps/web/src/lib/ai-service.ts,46,"Replace this union type with a type alias.",OPEN,5min,MAINTAINABILITY,No
fd2391f4-4e89-497f-b178-e470dc9ea5e0,typescript:S6594,MINOR,CODE_SMELL,apps/web/src/lib/ai-service.ts,265,"Use the ""RegExp.exec()"" method instead.",OPEN,5min,MAINTAINABILITY,Yes
ca554b5b-df38-43ba-b811-cab4ab1056be,typescript:S6594,MINOR,CODE_SMELL,apps/web/src/lib/ai-service.ts,266,"Use the ""RegExp.exec()"" method instead.",OPEN,5min,MAINTAINABILITY,Yes
7fe79723-d204-4caf-be84-e2bc1a5cf4ac,typescript:S6594,MINOR,CODE_SMELL,apps/web/src/lib/ai-service.ts,327,"Use the ""RegExp.exec()"" method instead.",OPEN,5min,MAINTAINABILITY,Yes
53977053-1e3e-440f-ae80-efefd12423de,typescript:S6594,MINOR,CODE_SMELL,apps/web/src/lib/ai-service.ts,328,"Use the ""RegExp.exec()"" method instead.",OPEN,5min,MAINTAINABILITY,Yes
bce95410-8d74-43bd-83b4-a217c75b4628,typescript:S4323,MINOR,CODE_SMELL,apps/web/src/lib/ai/services/tutor-service.ts,68,"Replace this union type with a type alias.",OPEN,5min,MAINTAINABILITY,No
b4ccc479-69ce-4efb-a020-0d188e32d347,typescript:S7735,MINOR,CODE_SMELL,apps/web/src/lib/ai/services/tutor-service.ts,309,"Unexpected negated condition.",OPEN,2min,MAINTAINABILITY,Yes
2ba9a56e-0d72-4979-b386-8becb5b02aba,typescript:S7763,MINOR,CODE_SMELL,apps/web/src/lib/auth-handlers.ts,38,"Use `exportâ€¦from` to re-export `BaseSignInResult`.",OPEN,5min,MAINTAINABILITY,No
bb3d58cc-b62c-400a-a41d-afa314a127ad,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/lib/code-validation.ts,51,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
a557fdce-1aea-4d84-9860-00a00b413a3c,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/lib/code-validation.ts,74,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
60444672-b2ba-40e5-9bae-8121f68d1163,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/lib/code-validation.ts,107,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
a34fd627-e96c-466e-a9ac-ceb453e4651c,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/lib/code-validation.ts,114,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
96350de5-656f-45e8-93ce-be1a1328a175,typescript:S7723,MINOR,CODE_SMELL,apps/web/src/lib/email-validation.ts,54,"Use `new Array()` instead of `Array()`.",OPEN,5min,MAINTAINABILITY,No
b182cdb7-d086-4e81-8711-3ef91ca3f0f3,typescript:S7755,MINOR,CODE_SMELL,apps/web/src/lib/email-validation.ts,123,"Prefer `.at(â€¦)` over `[â€¦.length - index]`.",OPEN,5min,MAINTAINABILITY,Yes
ae29c565-a3c8-44a6-a3e5-2e92bdeafe09,typescript:S3776,CRITICAL,CODE_SMELL,apps/web/src/lib/offline/sync-queue.ts,168,"Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.",OPEN,6min,MAINTAINABILITY,No
fbdceea3-68ed-4365-b856-0befc87a40be,typescript:S6660,MAJOR,CODE_SMELL,apps/web/src/lib/offline/sync-queue.ts,219,"'If' statement should not be the only statement in 'else' block",OPEN,5min,MAINTAINABILITY,No
481addac-eb3e-4f28-a703-0fec861de2c0,typescript:S3776,CRITICAL,CODE_SMELL,apps/web/src/lib/offline/sync-queue.ts,253,"Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.",OPEN,6min,MAINTAINABILITY,No
0d0b3e5d-3d0c-4b41-a85f-fcc41b7da91b,typescript:S6660,MAJOR,CODE_SMELL,apps/web/src/lib/offline/sync-queue.ts,302,"'If' statement should not be the only statement in 'else' block",OPEN,5min,MAINTAINABILITY,Yes
