"Issue ID","Rule","Severity","Type","File","Line","Message","Status","Effort","Quality Impact","Quick Fix Available"
"79aac4c5-f640-440b-ba3b-c174db9425b7","typescript:S6759","MINOR","CODE_SMELL","apps/web/src/components/offline/OfflineBanner.tsx","143","Mark the props of the component as read-only.","OPEN","5min","MAINTAINABILITY","Yes"
"fcb64743-3c44-4332-b81a-e1c83365cfe8","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/offline/OfflineBanner.tsx","149","Use <output> instead of the ""status"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"5bd77975-9776-4861-8e71-b61f021dc5e0","typescript:S6759","MINOR","CODE_SMELL","apps/web/src/components/offline/OfflineBanner.tsx","166","Mark the props of the component as read-only.","OPEN","5min","MAINTAINABILITY","Yes"
"1bceac62-541e-4f62-886b-249705dd24be","typescript:S7735","MINOR","CODE_SMELL","apps/web/src/components/student/ForgotPasswordFlow.tsx","63","Unexpected negated condition.","OPEN","2min","MAINTAINABILITY","Yes"
"0c94a35a-56f4-4051-b706-3bb87b8ed131","typescript:S7735","MINOR","CODE_SMELL","apps/web/src/components/student/ForgotPasswordFlow.tsx","116","Unexpected negated condition.","OPEN","2min","MAINTAINABILITY","Yes"
"53da58b4-f2fb-46f7-b43e-52923e1dbb05","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/ForgotPasswordFlow.tsx","162","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"c04655e8-6724-4ccd-89d2-9dc3af575557","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/ForgotPasswordFlow.tsx","247","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"7561d546-069b-4d1b-8a67-2c9cb89c3fbf","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/GuestJoinForm.tsx","163","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"9ff06b6c-1414-453e-8995-caf105fff9e1","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignInEmailForm.tsx","123","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"85959e6b-3e31-4c3e-a7a1-fa1d81c83dcf","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignInPhoneForm.tsx","142","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
